"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe","Symbol","ENTREZID"
-5.19472377001787,6.22573663317624,-11.3189401660914,4.87218101264806e-12,2.13109197493226e-07,17.1629202726219,"205914_s_at","GRIN1","2902"
-3.25609922973672,7.32163831109467,-10.3416852489795,3.89649396125023e-11,6.47505756013473e-07,15.2553134132576,"214333_x_at","IDH3G","3421"
-3.42580841693875,11.1669051984909,-10.2701201214427,4.55850366918839e-11,6.47505756013473e-07,15.1102795756423,"227186_s_at","MRPL41","64975"
-2.69978933175919,9.59717620165107,-10.0444714086869,7.50843377782794e-11,6.47505756013473e-07,14.648115690804,"232032_x_at","SDF4","51150"
-3.1568108783,7.82185478146726,-10.004710015657,8.20411293633825e-11,6.47505756013473e-07,14.5659093752682,"201168_x_at","ARHGDIA","396"
-3.15205574149084,9.76626714422096,-9.90559601698368,1.02409765565367e-10,6.47505756013473e-07,14.3599850318436,"231835_at","PRXL2B","127281"
-3.84004840344324,4.8332732271728,-9.88199051781444,1.07984157828233e-10,6.47505756013473e-07,14.3107287095845,"203114_at","ZNRD2","10534"
-2.8847719610151,11.1690042565311,-9.84094986201041,1.18428121813164e-10,6.47505756013473e-07,14.2248965944125,"201828_x_at","RTL8C","8933"
-2.74841191579451,12.3596645115296,-9.41345760900003,3.13866789196746e-10,1.42589439600004e-06,13.3160726988034,"215116_s_at","DNM1","1759"
-2.5510569697551,9.72145647908725,-9.39423936738558,3.2810903948001e-10,1.42589439600004e-06,13.2745804840669,"225969_at","ALKBH6","84964"
-2.77313745523326,11.3091671439158,-9.35582846361857,3.58592555006869e-10,1.42589439600004e-06,13.1914870072796,"1558796_a_at","ADGRB3-DT","101928307"
-3.14506366478133,9.59430010057289,-9.30489219905913,4.03548379414204e-10,1.47093384296477e-06,13.0809598078374,"228943_at","MAP6","4135"
-3.84715043394126,7.51792913139589,-9.2411702274187,4.68030420558234e-10,1.57474235347824e-06,12.9421460400848,"229961_x_at","YJEFN3","374887"
-3.17595621474515,11.3647070946364,-9.208424457176,5.05181537614158e-10,1.57833146108881e-06,12.8705769803917,"39729_at","PRDX2","7001"
-4.62500856071163,7.41903421517646,-9.11679348082761,6.26038411098238e-10,1.65510728992559e-06,12.6694614310997,"238996_x_at","ALDOA","226"
-2.54242463466533,11.2121091376972,-9.1095466432713,6.36779007084241e-10,1.65510728992559e-06,12.6535024950557,"228067_at","CRACDL","343990"
-3.80701289420901,5.96246730799944,-9.10522456366112,6.43274438242686e-10,1.65510728992559e-06,12.6439807235511,"221797_at","OXLD1","339229"
-3.29021315333727,6.02801264753962,-9.06797824521184,7.02139756503098e-10,1.67088780994961e-06,12.5618099958886,"209950_s_at","VILL","50853"
-3.56695751839857,6.70553356395112,-9.05389567242713,7.25808605145006e-10,1.67088780994961e-06,12.5306880800144,"209516_at","SMYD5","10322"
-3.45262090192411,5.93653900907898,-9.00356113905642,8.17295140991007e-10,1.78742447334733e-06,12.4192097730773,"206899_at","NTSR2","23620"
-2.71415044299532,9.7871388714932,-8.85862891701409,1.15250200273103e-09,2.40049702854548e-06,12.0961185854071,"201613_s_at","AP1G2","8906"
-3.54820652746708,9.56343324331016,-8.72902375154073,1.57086723626421e-09,3.10909518745654e-06,11.8045545765081,"1553993_s_at","MED25","81857"
-3.08804358525988,4.8248003448749,-8.71237829660056,1.6348694401349e-09,3.10909518745654e-06,11.7669280180047,"218813_s_at","SH3GLB2","56904"
-2.81440946335287,6.32622719558317,-8.66109268928563,1.84935158962209e-09,3.2795618105981e-06,11.6507406061298,"221809_at","RANBP10","57610"
-3.03662919970622,8.7656662499236,-8.6406417204478,1.94271908939657e-09,3.2795618105981e-06,11.6043005004699,"218679_s_at","VPS28","51160"
3.19014669491595,5.74185600467123,8.63920809947332,1.94944231997144e-09,3.2795618105981e-06,11.601042712168,"1552411_at","DEFB106A","245909"
-4.31368368666929,6.60259513212001,-8.60756728521993,2.10404300068311e-09,3.40854966110663e-06,11.5290642083827,"215161_at","CAMK1G","57172"
-3.18057861270492,11.8581688417898,-8.5885925161634,2.20271567205253e-09,3.44095655341348e-06,11.4858283113676,"200966_x_at","ALDOA","226"
-2.94127593267464,6.84773029538113,-8.56396803253607,2.33786440220661e-09,3.52614444663853e-06,11.4296397768395,"221789_x_at","RHOT2","89941"
-2.52586118625354,9.21067277181204,-8.5270250978899,2.55671412014798e-09,3.72768918717575e-06,11.3451751614707,"215700_x_at","CPNE6","9362"
-3.63662178007077,9.07102939857637,-8.47073079776245,2.93124410082219e-09,3.99095528495343e-06,11.2160801414264,"231783_at","CHRM1","1128"
-2.97524003442982,6.4583980374333,-8.46251565284163,2.99041231121417e-09,3.99095528495343e-06,11.1972020763554,"218745_x_at","TMEM161A","54929"
-3.89725310162478,6.52844743929996,-8.45969488908516,3.01100878837365e-09,3.99095528495343e-06,11.1907177908388,"210781_x_at","GRIN1","2902"
-3.24375290255716,10.4874240773848,-8.41204233921869,3.38173260536882e-09,4.3504995340833e-06,11.0809990501641,"217871_s_at","MIF","4282"
-2.86125276031234,7.7193331584508,-8.38873482792434,3.57973627574378e-09,4.42347417945924e-06,11.0272128684392,"224186_s_at","RNF123","63891"
-2.10800811423465,11.3685505342099,-8.37203157389204,3.72889079850036e-09,4.42347417945924e-06,10.9886182408388,"218175_at","CCDC92","80212"
-3.27784912936361,12.0237388780769,-8.37061263444682,3.74185058619094e-09,4.42347417945924e-06,10.9853377503194,"214687_x_at","ALDOA","226"
-3.15738960150681,9.13302726346622,-8.33388105512925,4.09384768516282e-09,4.5218635965731e-06,10.900314418712,"208336_s_at","TECR","9524"
